task,source,query,method,total_query_steps,reusable_prefix_length,reuse_ratio,partial_reuse_steps,partial_reuse_ratio,max_reuse_depth,avg_reuse_depth
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-183348-25f97c19,kubernetes-rust-rewrite-20260901-182909,ours_improved,6,1,0.1667,1,0.1667,1,1
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-183348-25f97c19,kubernetes-rust-rewrite-20260901-182909,full_workspace_hash,6,1,0.1667,1,0.1667,1,1
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-183348-25f97c19,kubernetes-rust-rewrite-20260901-182909,exact_history,6,0,0.0,0,0.0,0,0.0
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-183348-25f97c19,kubernetes-rust-rewrite-20260901-182909,tvcache_tcg,6,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183441-5baee8b8,ours_improved,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183441-5baee8b8,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183441-5baee8b8,exact_history,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183441-5baee8b8,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183519-e9a0c320,ours_improved,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183519-e9a0c320,full_workspace_hash,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183519-e9a0c320,exact_history,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-182955,ruby-rust-port-20260901-183519-e9a0c320,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-182955,ours_improved,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-182955,full_workspace_hash,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-182955,exact_history,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-182955,tvcache_tcg,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,ours_improved,4,2,0.5,2,0.5,1,1
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,exact_history,4,1,0.25,1,0.25,1,1
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,tvcache_tcg,4,4,1.0,4,1.0,4,2.5
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-182955,ours_improved,5,0,0.0,0,0.0,0,0.0
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-182955,full_workspace_hash,5,0,0.0,0,0.0,0,0.0
